customer_id,gender,senior_citizen,tenure_months,contract_type,payment_method,monthly_charges,total_charges,internet_service,support_tickets,paperless_billing,churn,churn_numeric,tenure_group,charge_per_month_tenure,churn_probability,risk_segment,revenue_at_risk
CUST-0001,Male,0,8,Month-to-month,Bank transfer (automatic),77.96,629.19,Fiber optic,4,Yes,Yes,1,7-12 months,9.74,0.675,High Risk,631.48
CUST-0002,Female,0,30,Two year,Mailed check,59.67,1771.78,DSL,2,No,No,0,25-48 months,1.99,0.244,Low Risk,174.71
CUST-0003,Male,1,40,One year,Electronic check,80.5,3372.56,DSL,1,No,Yes,1,25-48 months,2.01,0.29,Low Risk,280.14
CUST-0004,Male,0,7,Month-to-month,Electronic check,71.07,499.69,DSL,2,No,Yes,1,7-12 months,10.15,0.598,Medium Risk,510.0
CUST-0005,Male,0,44,Month-to-month,Bank transfer (automatic),32.86,1413.34,No,2,No,No,0,25-48 months,0.75,0.319,Medium Risk,125.79
CUST-0006,Female,0,44,Two year,Mailed check,44.12,1981.94,No,0,Yes,No,0,25-48 months,1.0,0.176,Low Risk,93.18
CUST-0007,Male,1,7,One year,Electronic check,18.25,124.83,No,1,Yes,Yes,1,7-12 months,2.61,0.42,Medium Risk,91.98
CUST-0008,Male,0,33,One year,Mailed check,80.97,2780.02,Fiber optic,2,Yes,Yes,1,25-48 months,2.45,0.4,Medium Risk,388.66
CUST-0009,Male,0,57,Two year,Electronic check,82.14,4623.33,DSL,1,Yes,No,0,49+ months,1.44,0.179,Low Risk,176.44
CUST-0010,Female,0,31,Two year,Bank transfer (automatic),71.73,2234.72,Fiber optic,3,Yes,No,0,25-48 months,2.31,0.357,Medium Risk,307.29
CUST-0011,Male,0,57,Month-to-month,Electronic check,62.29,3390.96,Fiber optic,1,No,Yes,1,49+ months,1.09,0.443,Medium Risk,331.13
CUST-0012,Male,1,13,Month-to-month,Bank transfer (automatic),20.22,260.92,No,1,No,No,0,13-24 months,1.56,0.49,Medium Risk,118.89
CUST-0013,Male,0,4,Month-to-month,Electronic check,38.66,159.78,DSL,2,No,Yes,1,0-6 months,9.66,0.603,High Risk,279.74
CUST-0014,Male,0,28,One year,Mailed check,63.23,1824.55,Fiber optic,0,Yes,No,0,25-48 months,2.26,0.43,Medium Risk,326.27
CUST-0015,Female,1,12,Month-to-month,Electronic check,49.44,576.92,DSL,1,No,No,0,7-12 months,4.12,0.566,Medium Risk,335.8
CUST-0016,Male,0,23,One year,Electronic check,33.92,758.79,DSL,1,No,No,0,13-24 months,1.47,0.361,Medium Risk,146.94
CUST-0017,Female,0,51,Two year,Mailed check,75.23,3958.47,Fiber optic,2,Yes,No,0,49+ months,1.48,0.256,Low Risk,231.11
CUST-0018,Female,0,60,Two year,Mailed check,88.53,5540.42,Fiber optic,1,No,Yes,1,49+ months,1.48,0.225,Low Risk,239.03
CUST-0019,Female,0,11,Month-to-month,Bank transfer (automatic),61.38,647.86,Fiber optic,2,Yes,Yes,1,7-12 months,5.58,0.662,High Risk,487.6
CUST-0020,Male,0,38,Two year,Electronic check,97.79,3697.46,Fiber optic,2,Yes,No,0,25-48 months,2.57,0.365,Medium Risk,428.32
CUST-0021,Female,0,14,Month-to-month,Bank transfer (automatic),82.66,1138.43,Fiber optic,0,Yes,Yes,1,13-24 months,5.9,0.661,High Risk,655.66
CUST-0022,Male,0,39,Two year,Credit card (automatic),90.46,3658.72,Fiber optic,4,Yes,No,0,25-48 months,2.32,0.284,Low Risk,308.29
CUST-0023,Female,1,3,Month-to-month,Bank transfer (automatic),20.13,57.87,No,3,Yes,No,0,0-6 months,6.71,0.538,Medium Risk,129.96
CUST-0024,Female,1,10,Month-to-month,Electronic check,42.82,415.83,No,0,No,Yes,1,7-12 months,4.28,0.555,Medium Risk,285.18
CUST-0025,Female,0,46,Two year,Mailed check,58.62,2764.6,Fiber optic,1,No,No,0,25-48 months,1.27,0.277,Low Risk,194.85
CUST-0026,Female,0,4,Month-to-month,Electronic check,68.35,261.13,DSL,1,No,No,0,0-6 months,17.09,0.617,High Risk,506.06
CUST-0027,Female,0,1,Month-to-month,Electronic check,77.58,77.52,Fiber optic,2,No,No,0,0-6 months,77.58,0.744,High Risk,692.63
CUST-0028,Female,0,35,One year,Credit card (automatic),83.3,2898.62,Fiber optic,1,Yes,No,0,25-48 months,2.38,0.365,Medium Risk,364.85
CUST-0029,Female,0,34,One year,Electronic check,37.37,1249.54,DSL,0,No,No,0,25-48 months,1.1,0.31,Medium Risk,139.02
CUST-0030,Female,0,30,One year,Mailed check,18.25,541.73,No,0,Yes,No,0,25-48 months,0.61,0.265,Low Risk,58.04
CUST-0031,Male,1,33,One year,Bank transfer (automatic),63.96,2117.0,DSL,1,Yes,No,0,25-48 months,1.94,0.289,Low Risk,221.81
CUST-0032,Male,0,24,One year,Bank transfer (automatic),18.25,423.17,No,1,Yes,Yes,1,13-24 months,0.76,0.298,Low Risk,65.26
CUST-0033,Female,0,16,Month-to-month,Bank transfer (automatic),81.95,1320.64,Fiber optic,1,Yes,No,0,13-24 months,5.12,0.647,High Risk,636.26
CUST-0034,Female,0,1,Month-to-month,Electronic check,54.49,56.15,Fiber optic,4,Yes,No,0,0-6 months,54.49,0.731,High Risk,477.99
CUST-0035,Female,0,17,Month-to-month,Electronic check,87.72,1530.04,Fiber optic,0,Yes,Yes,1,13-24 months,5.16,0.679,High Risk,714.74
CUST-0036,Male,0,23,Two year,Mailed check,18.25,405.22,No,3,Yes,No,0,13-24 months,0.79,0.241,Low Risk,52.78
CUST-0037,Female,0,35,One year,Electronic check,83.28,2812.56,Fiber optic,4,No,Yes,1,25-48 months,2.38,0.425,Medium Risk,424.73
CUST-0038,Male,0,25,Month-to-month,Mailed check,84.38,2060.6,Fiber optic,1,Yes,Yes,1,25-48 months,3.38,0.589,Medium Risk,596.4
CUST-0039,Male,0,3,Month-to-month,Electronic check,44.55,131.79,DSL,1,Yes,Yes,1,0-6 months,14.85,0.615,High Risk,328.78
CUST-0040,Male,0,48,Two year,Electronic check,83.73,3982.25,Fiber optic,1,Yes,No,0,25-48 months,1.74,0.313,Medium Risk,314.49
CUST-0041,Male,0,11,Month-to-month,Mailed check,58.91,659.65,DSL,0,No,No,0,7-12 months,5.36,0.535,Medium Risk,378.2
CUST-0042,Male,0,18,One year,Electronic check,66.92,1151.16,Fiber optic,3,Yes,No,0,13-24 months,3.72,0.521,Medium Risk,418.38
CUST-0043,Female,0,39,One year,Bank transfer (automatic),59.87,2226.28,Fiber optic,2,Yes,Yes,1,25-48 months,1.54,0.369,Medium Risk,265.1
CUST-0044,Female,0,46,One year,Bank transfer (automatic),45.56,2073.11,Fiber optic,1,Yes,No,0,25-48 months,0.99,0.331,Medium Risk,180.96
CUST-0045,Female,0,3,Month-to-month,Credit card (automatic),60.24,184.28,DSL,3,Yes,No,0,0-6 months,20.08,0.538,Medium Risk,388.91
CUST-0046,Female,0,65,Two year,Electronic check,31.53,1986.62,DSL,4,Yes,No,0,49+ months,0.49,0.138,Low Risk,52.21
CUST-0047,Female,0,70,Two year,Electronic check,76.43,5425.81,Fiber optic,0,Yes,Yes,1,49+ months,1.09,0.216,Low Risk,198.11
CUST-0048,Male,0,34,One year,Electronic check,51.05,1694.01,DSL,3,Yes,Yes,1,25-48 months,1.5,0.303,Medium Risk,185.62
CUST-0049,Female,0,26,One year,Bank transfer (automatic),65.19,1760.38,DSL,1,Yes,No,0,25-48 months,2.51,0.324,Medium Risk,253.46
CUST-0050,Female,0,47,Two year,Bank transfer (automatic),50.47,2465.95,DSL,2,Yes,No,0,25-48 months,1.07,0.183,Low Risk,110.83
CUST-0051,Male,0,14,One year,Electronic check,25.06,343.73,No,1,No,No,0,13-24 months,1.79,0.383,Medium Risk,115.18
CUST-0052,Female,0,6,Month-to-month,Credit card (automatic),85.98,501.95,Fiber optic,1,Yes,Yes,1,0-6 months,14.33,0.664,High Risk,685.09
CUST-0053,Male,0,37,One year,Electronic check,80.03,2934.85,Fiber optic,3,Yes,No,0,25-48 months,2.16,0.416,Medium Risk,399.51
CUST-0054,Female,0,35,One year,Mailed check,59.74,2036.65,DSL,2,Yes,Yes,1,25-48 months,1.71,0.267,Low Risk,191.41
CUST-0055,Male,0,1,Month-to-month,Bank transfer (automatic),62.04,63.11,DSL,2,No,Yes,1,0-6 months,62.04,0.594,Medium Risk,442.22
CUST-0056,Female,1,38,One year,Credit card (automatic),51.97,2039.25,Fiber optic,0,Yes,No,0,25-48 months,1.37,0.343,Medium Risk,213.91
